7538497265 【图片】我来发华语歌手，你们来打分，满分10，特设cjb评分【抗压背锅吧】_百度贴吧
来自Android客户端 1楼 2021-09-14 15:43 不见那时明月 华语乐坛第一人镇楼 
来自Android客户端 2楼 2021-09-14 15:43 不见那时明月 卧槽！🌸！ http://tiebapic.baidu.com/forum/w%3D580/sign=aa1b09221790f60304b09c4f0913b370/25a3cbfdc3cec3fddc9a22668b88d43f869427ab.jpg
来自Android客户端 3楼 2021-09-14 15:43 不见那时明月 徐良 http://tiebapic.baidu.com/forum/w%3D580/sign=b69b11a8dad6277fe912323018391f63/1d7a3adab6fd5266e18cb907f618972bd50736b4.jpg
来自Android客户端 4楼 2021-09-14 15:44 不见那时明月 汪苏泷 http://tiebapic.baidu.com/forum/w%3D580/sign=cf9b8ad06787e9504217f3642039531b/96ca01097bf40ad11b4242f00a2c11dfa8ecceb6.jpg
来自Android客户端 5楼 2021-09-14 15:44 fight95 又开始了啊。有没有粤语的 
来自Android客户端 6楼 2021-09-14 15:44 不见那时明月 山高 http://tiebapic.baidu.com/forum/w%3D580/sign=e5433d92961349547e1ee86c664f92dd/6743b1109313b07e711cd51b51d7912396dd8cb7.jpg
来自Android客户端 7楼 2021-09-14 15:44 不见那时明月 接下来是无病呻吟三人组 
来自Android客户端 8楼 2021-09-14 15:45 不见那时明月 薛之谦 http://tiebapic.baidu.com/forum/w%3D580/sign=95ce85099b5c1038247ececa8210931c/966061d8f2d3572c6d4119cfd713632763d0c3b1.jpg
来自Android客户端 9楼 2021-09-14 15:45 不见那时明月 这是？ http://tiebapic.baidu.com/forum/w%3D580/sign=13e02e0c5a082838680ddc1c8898a964/ced7d3170924ab18a3b4642468fae6cd7a890bb1.jpg
来自Android客户端 10楼 2021-09-14 15:45 不见那时明月 也就李白了 http://tiebapic.baidu.com/forum/w%3D580/sign=1dda6a9717ed2e73fce98624b700a16d/4eaa0df51bd5ad6ef664e1f9dccb39dbb7fd3cb2.jpg
来自Android客户端 11楼 2021-09-14 15:46 不见那时明月 隔壁老樊 http://tiebapic.baidu.com/forum/w%3D580/sign=d199a93433c6a7efb926a82ecdfbafe9/4b9b6358252dd42a1ebc0d40463b5bb5cbeab8d2.jpg
来自Android客户端 12楼 2021-09-14 15:46 不见那时明月 陈粒，我滴神！ http://tiebapic.baidu.com/forum/w%3D580/sign=878157dd58950a7b75354ecc3ad0625c/e7389d500fb30f24892ee0e88d95d143af4b03d3.jpg
来自Android客户端 13楼 2021-09-14 15:46 不见那时明月 老狼 http://tiebapic.baidu.com/forum/w%3D580/sign=638b75d32b061d957d4637304bf50a5d/7a7c78889e510fb3c5ae7b7c9c33c895d3430cdc.jpg
来自Android客户端 14楼 2021-09-14 15:47 不见那时明月 罗大佑 http://tiebapic.baidu.com/forum/w%3D580/sign=f91c6035786d55fbc5c6762e5d234f40/33727a300a55b319344f8e9e06a98226cdfc17dd.jpg
来自Android客户端 15楼 2021-09-14 15:47 不见那时明月 神！ http://tiebapic.baidu.com/forum/w%3D580/sign=a9c6197f032309f7e76fad1a420f0c39/1e97ccfd1e178a825f8d734bb303738dab77e8df.jpg
来自Android客户端 16楼 2021-09-14 15:48 不见那时明月 原谅我不在送花 http://tiebapic.baidu.com/forum/w%3D580/sign=c3c9e8d2f6de9c82a665f9875c8080d2/0d9294dca144ad3408138b6c95a20cf433ad85db.jpg
来自Android客户端 17楼 2021-09-14 15:49 不见那时明月 卢冠廷 http://tiebapic.baidu.com/forum/w%3D580/sign=a8cc60355424ab18e016e13f05fbe69a/41e5554f9258d10949742ca18c58ccbf6d814d45.jpg
来自Android客户端 18楼 2021-09-14 15:49 不见那时明月 乌蝇哥 http://tiebapic.baidu.com/forum/w%3D580/sign=198827fefc44ad342ebf878fe0a30c08/944b523c269759eeb5c6e5d8effb43166c22df46.jpg
来自Android客户端 19楼 2021-09-14 15:49 不见那时明月 陈慧娴 http://tiebapic.baidu.com/forum/w%3D580/sign=b6ad11a8dad6277fe912323018391f63/1d7a3adab6fd5266e1bab907f618972bd5073646.jpg
来自Android客户端 20楼 2021-09-14 15:51 不见那时明月 谢安琪 http://tiebapic.baidu.com/forum/w%3D580/sign=a466033fda01a18bf0eb1247ae2e0761/417552db81cb39db994fe2458d160924aa18304c.jpg
来自Android客户端 21楼 2021-09-14 15:51 不见那时明月 菲 http://tiebapic.baidu.com/forum/w%3D580/sign=f5961b3bca2bd40742c7d3f54b889e9c/0ee9d208b3de9c822dea7c9c3181800a18d8434d.jpg
来自Android客户端 22楼 2021-09-14 15:51 不见那时明月 空手道大师兄 http://tiebapic.baidu.com/forum/w%3D580/sign=c01790ac7c12b31bc76ccd21b6193674/60b29144d688d43f340e9d19381ed21b0cf43bec.jpg
来自Android客户端 23楼 2021-09-14 15:51 不见那时明月 张国荣 http://tiebapic.baidu.com/forum/w%3D580/sign=504e1f72aedeb48ffb69a1d6c01e3aef/9f8a58b4c9ea15ce9b67651aeb003af33b87b24f.jpg
来自Android客户端 24楼 2021-09-14 15:55 不见那时明月 Tank http://tiebapic.baidu.com/forum/w%3D580/sign=e62de4c46bd12f2ece05ae687fc3d5ff/22b86862f6246b6091f23767b6f81a4c500fa25c.jpg
来自Android客户端 25楼 2021-09-14 15:56 不见那时明月 小周 http://tiebapic.baidu.com/forum/w%3D580/sign=5abc30ffee18972ba33a00c2d6cc7b9d/caff9159d109b3de1628e88389bf6c81820a4cfc.jpg
来自Android客户端 26楼 2021-09-14 15:56 不见那时明月 真神！ http://tiebapic.baidu.com/forum/w%3D580/sign=1474b46a8e1349547e1ee86c664f92dd/6743b1109313b07e802b5ce349d7912395dd8cfd.jpg
来自Android客户端 27楼 2021-09-14 15:56 不见那时明月 黄龄 http://tiebapic.baidu.com/forum/w%3D580/sign=335f035cac50352ab16125006342fb1a/9eb978f50ad162d9fb7f6ef754dfa9ec8813cdfe.jpg
来自Android客户端 28楼 2021-09-14 15:58 不见那时明月 朴树10 http://tiebapic.baidu.com/forum/w%3D580/sign=cd13352f74adcbef01347e0e9cad2e0e/2e4a40176d224f4a3d157ff84cf790529a22d1fb.jpg
来自Android客户端 29楼 2021-09-14 15:58 不见那时明月 胡彦斌 http://tiebapic.baidu.com/forum/w%3D580/sign=fb21cfd8368da9774e2f86238053f872/5f7fc0fcfc0392456739ede4c294a4c27f1e25fb.jpg
来自Android客户端 30楼 2021-09-14 15:58 不见那时明月 萧敬腾 http://tiebapic.baidu.com/forum/w%3D580/sign=76d9f9775423dd542173a760e108b3df/0fa2b37fca806538b11d2100cadda144ac348265.jpg
